Reviews1,Theme1
"By creating an environment such that junior staff who have joined newly should be assured that they will be taken care by guiding them in their day to day works by seniors and help them to overcome the initial difficulties in the job so that they feel secure and work with full potential and use their skills very efficiently so as to achieve their goals and in turn work for the growth of the organization, hence creating an environment in which the whole organization is filled with happiness.",encourage young talent
Communicate with all colleagues with smile,
"by maintaining office internal relationship, Good environment, communications.. 
maintained good canteen, recreation, get together s etc, ",internal relationships
"Our HR Team and Admin Dept. are helping us continuously to make an environment of happiness. Throughout the year they are promoting Meditation workshops, internal workshops for training for latest technical knowledge, ethics, work space behavior etc.","HR Workshops-wellness,training,technologies,work spaces etc."
"To conduct personal development programs
To conduct how to work in an organisation.
Behaving of others
How to approach new things.
",personal development programs
 proper Guidance to resolve the problems ,guidance
Giving chance to celebrate birthdays of employees,celebrations
Familiar Atmosphere and very kind & sensitive management.,working environment-friendly
"Increments & Rewards as purely based on performance rather than fancies of Bosses.
Career development
Culture
Example: When annual increments are offered and if the employee feels that he has been discriminated, the happiness environment will disappear and a sense of betrayal feeling starts, leading to employee resignation.",fair PMS process
"Appreciate your employees by recognizing their accomplishments with praise and appreciation.
Don't wait for reviews or evaluations to praise your workers.
Show employees you care by paying attention to their daily work and achievements.
Show your appreciation when they are working particularly hard.
You can never say “thank you” too often.
Know your employees and coworkers by name.
Be involved – say hello, ask them about their weekends, families, etc.
Socialization is a key factor for happiness. The more fun and social your workplace is, the happier your employees will be.
Don't micromanage your employees. It lowers motivation and the overall morale of the department.
Free time can be even more important that money or raises. Motivate your employees by offering a paid day off or a more flexible schedule.
Workers are happier when their basic needs are met, so support health and wellness initiatives at work.
A healthy environment includes good lighting, plenty of natural sunlight, plants, plenty of fresh water, etc.
Allow your workers to take shorts breaks where they can get up, stretch and take a break from the computer so they can refresh. This in turn will help improve their creativity and productivity.
Encourage vacations. Workers will return happier, refreshed and motivated.
Have weekly meetings to discuss good news. Most meetings go over what's missing or bad events – switch it up by holding meetings to share the positive news.",recognition-timely
Team leader and senior staffs support.,support from seniors
--,
"Openness, Trust & freedom are the major enablers that create an environment of happiness in our Organisation.","freedom,trust and openness"
"Transparent communication & openness
Humble Leadership
Inter-personal relations","communication,openness,leadership"
,
Company : Policy,policies
Dedication and Commitment towards Vison ,commitment towards vision
A positive work environment makes employees feel good ,positive work environment
"Gud team work with joyful culture , Monthly team  Outings, Team members birthdays celebrations.","celebrations ,teamwork,culture"
"Recognition of work,Conducting periodic tournaments,tours,Giving time&importance to employee personal life.Appreciation ",recognition and work life balance
higher offcials create happiest environment to  work in our organization. My deptment Sr EVP Sir &project incharge Sir of UPEIDA Peoject pakg-3 are encouraged me to full fill my work.,support from seniors
"Celebrating Completion of service periodically to all individual employees and rewarding them suitably
Procedure to gift every employee during his/her wedding
Promotions at regular intervals on merits
Efforts to train through programs
Team work and humanity
Facilities 
Medical Insurance- which introduced in the recent past
","celebrations,rewards and recognitions"
CO STAFF RELATION,colleagues
the open approach of HR ,HR approach
Friendly people,colleagues
"Belongingness, the employee is happy to say the 
organisation name proudly. It is possible only
when the present and future is safe.",belongingness
My Boss,seniors
FULL SUPPORT FROM PROJECT INCHARGE,seniors
"1.Leaders must develop and communicate a compelling vision.
2. Performance Enablers",communicate vision and performance enablers
The freedom to work creates an environment where employees gives their 100%. Empathy shown by top management encourages belongingness and which emulates in employees taking ownership whatever they does.,"Autonomy,belongingness"
"Comfortable working place, seating arrangment, lavish dining hall  and a learning centre",ergonomics
Friendly nature and in depth involvement of management in both official and personel issues.,compassion
"professional culture,Supportive Staff and helping staff from Corporate office.",staff-friendly
"show your employees that you care for them. Improve your office space with adequate lighting, comfortable decor. Quiet environment, breathable air etc., Empowering team dynamics are some of the enablers managers can improve their workplace experiences.",team dynamics
Clean Environment,cleanliness
"Happy , positive people",colleagues
Openness,openness
"Organising get together with families will make happy.
i have enjoyed in get together with my staff, we will be like a family, the best site is Road work site Utter Pradesh",social gathering with families  needed
We celebrate our achievements.,celebration of achievements
"Good environment at corporate office, free housing and transport for all staff and mess allowance to all bachelors. promotional avenues  ",work environment
"Good Food / Healthy Food at Work Place , Taking care the Health of the Employee & Their Family members thru Insurance Covers. Compensation or Job to the family member of the employee in the event of Death / serious illness.",health and benefits to the family
Friendly Environment/Situation and Welfare of Self and family is being take care by our organization,work environment
Collegues,colleagues
Client Appreciation. ,client satisafaction
"- Cordial relations 
- Always encourage to sharp their edge by learning & training
- Constant enhancement in welfare-being of employees
- Good atmosphere & strong hierarchal support 
","learning ang development,support from seniors"
"Happiness at work is a win-win. Happy, engaged people are healthier, more productive, they have more ideas, are more likely to contribute over and above the responsibilities of their job and help out colleagues, are less likely to leave or be off sick and are more likely to get to work on time. They are better to be around as happiness is also catching. So, if your team is happy - you and others around them are more likely to be happy too.",happy environment
Constant meeting,work
"Openness and trust with in the organization are the enablers for happiness.The culture and Tradition of the organization keeps everybody very happy. Encouraging the Talent, giving best benefits and protecting the Staff and their family with Insurance policies, Felicitation to long service employees by management are the elements which keeps every one happy.",openness and trust
Achievements will always create environment of happiness with gatherings and appreciations,achievement of goals
"Our Colleagues are our strong point. Of course, criticism/work pressure are common to everybody in any organization. But, when time comes, all colleagues help one another and make us happy.",colleagues
"Effective communication
Trust each other while discussions",communication
Conducting programmes to enhance skills of employees. Also conducting seminars on well being and conducting health camps.,skill development
Company's trust on Human resources. Even in critical times company never though to get rid of employees to cut-off the costs. Employees also work with truthfulness and completed many projects under toughest conditions without losing hope. Company completed many projects in North -Eastern States in India.,employee welfare
Monthly Training Programmes conducting by HO HR Team,learning and development
"INTER-PERSONAL RELATIONS WITHIN THE STAFFS HELPS US TO MAINTAIN A HEALTHY ENVOIRNMENT IN OUR WORKPLACE SO THAT OUR WORKS APPEARS TO BE A PLACE FOR GOOD WORKING CONDITION. 
EXAMPLES- MANIKANDAM AND PRIYATAM ARE TWO OF MY BEST FRIENDS , WE ARE FROM DIFFERENT PARTS OF NATION BUT WE NEVER HAD ANY DISCREPANCIES OF THOUGHT.",colleagues
Support & feedback from top management.,support from seniors
Good Interaction with employees frequently ,communication
,
"Site staff-they think of their problems with me, and I will immediately reduce the technical problems",problem resolution
"Divide work Groups,Sharing knowledge, Respect each other.",knowledge sharing
"Friendly nature, freely express my ideals express to all persons in my organization. ",open to ideas
POE Training Programme will make employees and the environment happy.,Learning and development
CELEBRATION OF BIRTHDAY & LONG SERVICE AWARD,celebrations
,
"By interacting with the employees, listening to their ideas & appreciation for their achievements. ","communication,recognition"
"Get together parties, Weekend gatherings, Sports Events, Social Events, Health and any general awareness programs.",celebrations
 nil,no enablers
,
Our office is  having garden & two dogs,ambience
,
Updated knowledge about the present market situation ,knowledge sharing
"Everything like Staff,Working Environment and other benefits we get creates Happiness.",organization benefits and staff
"freedom of expressing your views,planning & implementation",Open to ideas
"Well Defined Objectives, Good Working environment, Competitive Remuneration, 
","defined objectives, work enivironment"
happy,
Giving chance to learn more and more in every day to day works. ,everyday learning
"Sports day, Special initiations/guest lectures on special topics","csr,gguest lectures"
"Employee family insurance is taken care by Company, It seems its implementation is one of the biggest welfare taken by the company. Individual health is regularly monitored by way of arranging various health camps regularly.",employee welfare
Job Stability and relaxed working environment,job stability
"Cultural programmes, family get together, meditation & platform for open discussion can create happiness in the organization.",celebrations
"Trust,Encouragement and opportunity is the key to create a environment of happiness. For Instance I have felt happy whenever my management gives me a target which is often higher than my ability and the encourages me to take the lead. Every sincere worker will feel happy when he is trusted ,encouraged and gives an opportunity to take higher challenges.",opportunities
"Systematic and very positive environment, providing trainings in all the requisite areas viz. technical, non technical, even there are instances for drivers also my organization conducted work shops as one of the most precious social responsibility.  ",Learning and development.CSR
XXXXx,
"The enablers may be,
1. encouraging employees for innovative ideas
2. Give respect to the suggestions given by the employees not by designation and by the quality of the suggesstion.",Value to employees across designations
,
CO-OPERATION,
sadadsad,
we work without any tension,stress free work culture
Type of Work & atmosphere in which every work executes are all dependent for a stress free work environment with good output,stress free work culture
Sharing problems amount all team members,
"Celebrating various functions together, the view of the garden and planters maintained by the Organization.",celebrations and ambience
"Five Day Work Week, Time management ",5 day work policy
5 day weak??,5 day work policy
Weekend off,5 day work policy
Access to a library would be great.,access to library
"Act Accordingly to time, market, people",Action oriented
A good policy for Employee   A good Management Team  A good HR Policy   A  strong Network,adapting good HR policy
From time to time appreciate employees for there good work ,Appreciation for good work
To be motivate make happy life and there work stress should be in limit.,Appreciation for good work
Appreciating one other,Appreciation for good work
Always appreciate for good work.,Appreciation for good work
Appreciate to each other for good work,Appreciation for good work
All of encouraging in motivates to planning work ,Appreciation for good work
"To understand each people, know about there dream, encourage them , motivate them to achieve there dreams.",Appreciation for good work
"Appreciate your employees by recognizing their accomplishments with praise and appreciation.  Don't wait for reviews or evaluations to praise your workers.  Show employees you care by paying attention to their daily work and achievements.  Show your appreciation when they are working particularly hard.  You can never say “thank you” too often.  Know your employees and coworkers by name.  Be involved – say hello, ask them about their weekends, families, etc.  Socialization is a key factor for happiness. The more fun and social your workplace is, the happier your employees will be.  Don't micromanage your employees. It lowers motivation and the overall morale of the department.  Free time can be even more important that money or raises. Motivate your employees by offering a paid day off or a more flexible schedule.  Workers are happier when their basic needs are met, so support health and wellness initiatives at work.  A healthy environment includes good lighting, plenty of natural sunlight, plants, plenty of fresh water, etc.  Allow your workers to take shorts breaks where they can get up, stretch and take a break from the computer so they can refresh. This in turn will help improve their creativity and productivity.  Encourage vacations. Workers will return happier, refreshed and motivated.  Have weekly meetings to discuss good news. Most meetings go over what's missing or bad events – switch it up by holding meetings to share the positive news.",Appreciation for good work
Support your juniors our and appreciate them when they do good things. Support them not your RMs,Appreciation for good work
work with balance,balanced work life
"Work Life Balance  Equal proportion of work, exercise, enjoyment, learning, recognition, education and charity",balanced work life
"Right People having a right work will make him happy, same can be achieve by their learning, engagement, work balance along with automation.  We need to build trust between all stack holder along with consumer.",balanced work life
Work life balance is not there,balanced work life
Required more employee engagement activity .Work life balance to be common across offices ,balanced work life
"Improve employee's work life balance, provide world class facilities as per International standards to create WoW in office, ensure designation & pay parity, bring clarity on organization roadmap and strategy",balanced work life
Family and work life balance.  ,balanced work life
Good implementation of benefits ,Benefits policy
Best work culture,Best work culture
1. By not creating fear   2. By understanding personal problems and giving adequate support,Fearless environment
"To feel like home first of all give people their comfort zone, once you do that every employee will handle the company work like its own personal work with complete attention.",Family like culture
" Better work environment,investing money in market for advertisement,  Smooth and easy work process,",Best work culture
Working Place,Best work culture
Need Good Environment,Best work culture
Cafeteria ,better cafeteria
Hire right person for the right Job and change of the profile for every individual in every 18 to 24 months. After this point of time people start enjoying comfort zone instead of making efforts for self or companies growth and upgrade with Skill trainings and projects. People more then 5 years in this organization need to be evaluated again as they are Asset to the company but much they have developed as many of them are in their comfort zone.,Job Rotations
Find out employees qualities during his job profile . ,Know employees better
"Better Infra, better food, being less rigid with outdated and absurd policies","Better infrastructure, good food"
"Proper take care of their employees by serving them good facility like quality food,stress free working environment,etc.","Better infrastructure, good food"
1. GYM.  2. tighten working hour policies. like there should be no traditional way of showing off in front of seniors by stretching our working our and sitting late in the evening. even if we do not have any work to do.  3. transparency in performance appraisal system and it should be unbiased.  ,"Better infrastructure, gym"
"an organization should take a stand for employee basic needs(ROTI , KAPDA OR MAKAN)","Better infrastructure, gym"
"food must be delicious , need to arrange some gaming activity every week,","Better infrastructure, games, good food"
"Commitments of the organisation, sense of job security, good food, physical & emotional well being of employees etc. ","Better infrastructure, games, good food"
"Peace, cleanness, plants, better lighting conditions, clean washroom, cafeteria, light music during break and lunch time","Better infrastructure, good food"
Material management  Product management,Better Product Management 
we are doing good but we took more time to start some new policy or new activity for example we start our high segment handset very late but many organisations already launch there high segment handsets.  ,Better Product Management 
We are already doing best practice this should be continuously like   Birthdays celebration party with team members ,Birthday Celebrations
There must be one big n blast type retailer n distributor meet in the zone which attracts all competitor's retailers to join Org X.,Brand Building Activities
goodwill ,Brand Value
Giving people what they really need,By adapting employee friendly policies
"Respected each other , celebrate for any kind of achievement...Wow factor it's would be most aspected for each and every body had achieved it .    ",By adapting employee friendly policies
"1. Regular we can do a morning oath/prayer or something else like that, which could be positive and energetic.   2. Behavior should be eco friendly to each other. which will make a healthier organization.  3. Few outing plans should be there for all, 2-3 times in a calendar year.   4. Benefit for the retailers should be higher in case of Occasions, talking about special scheme for them. Which will surely improve to increase our sale values and volumes.   5. People who are there in Top of organisation, they should come to meet with retailers once in 2 month atleast in all market. Dealer also get interest to do more business with us.   *** This is my personal opinion, please p me if i am wrong, or i use wrong sestences/word.",By introducing Morning activities
By maintaining proper decorum of the office and friendly nature with every colleague.  My suggestion would be by doing some morning fun activity.,By introducing Morning activities
Get together & outing each dept.,Get Togethers
"Employers can also encourage office celebrations for holidays and birthdays. These celebrations do not need to be expensive. It can be as simple as asking everyone to bring in a covered dish. Even when there is no reason to celebrate, encourage employees to eat lunch together. Provide a comfortable eating area. ",celebrations
more cultural programs need to organize among employees ,Cultural events
Encouraging festival celebrations and regular get-together for more unite culture and environment. ,"get Togethers, celebrations"
have more team parties in regular interval rather just once in 6 months,Get togethers
Month end birthday celebration of every person born on that month with get together of whole employees by organization.,Birthday Celebrations
"1. Hiring for innately happy and secure people  2. Helping in achieving union of work and professional lives by family days  3. Promotion of physical activities and team based sports in informal competitions within the Function   4. Celebrating personal milestones ( new births, marriage, children doing well etc. ) as well with the teams  5. Implementation of  ""Care"" model at workplace","Celebration of birthdays, family day etc."
"Some Music, Special Events & Outing or tour .",Outings
organize more event and ensure to reach last person of organization.Talk to employee about her growth frequently.,Cultural events
"Fun at word is missing, in sales organisation we must get engaged in family get together, sales parties, annual/half yearly meets- addressed to top mamagement can make employee more motivated and happy.","Get togethers, events"
The organization should give the clear vision of   Long term goals to every man power.,Clear vision of goals
Seamless Communication across functions for execution till last mile.,Communication across functions
More interaction amidst different departments could play an important role in make the organisation a happier place.,Communication across functions
"Communication and solidity in direction. We seem to be into too many things all the time. Today, need is to earn revenues - our focus should only be towards that. ",Communication across functions
1. Cross functional team approach  2. things should not be imposed to do  3. illogical things should be logical  4. there should be a bottom to top approach,Communication across functions
"Co-ordination between different verticals, being humble rather than arrogant and in time help of filed force team with proper enablers",Communication across functions
Convenience facility  ,Convenience facility  
Organization could provide the transport facility to employees.  ,Convenience facility  
TRANSPORTATION AND OTHER WHITEGOOD PRODUCTS BUSINESS BY Org X,Convenience facility  
culture ,Culture
offices    all employees share some thoughts of thier mind and some learning also available that in meeting,culture of learning and sharing
By giving us proper knowledge and make us feel that we the only person for the company doing good thing,culture of learning and sharing
eco friendly culture,eco friendly culture
"Continue engaging work force with larger social causes - environmental issues, philanthropic initiatives like educating children of downtrodden, cleanliness drives etc.  ",eco friendly culture
"More focus on spiritual, emotional and physical well being.  More activities to drive the same.    Spiritual - celebrating multi-cultural festivals together  Emotional - Yog/ meditation classes  Physical - Going beyond cricket - organizing events of other sports like football, badminton, tennis, carrom, chess, TT etc.",eco friendly culture
Efficient utilization of Human resource.,effective HR policies
By becoming more employee centric rather than becoming cost centric all the time. Employee satisfaction is much more vulnerable than the cost for an organisation. ,Employee Centric
talk to every employee about their personal & official issue if any,Employee Centric
Empowerment,Empowerment
Empowerment. Ownership & Accountability,Empowerment
Employee engagement program like ECF should be organized on time.   ,Employee engagement activities
"Employee engagement, can be improved further compare to the industry norms ",Employee engagement activities
"Employee Friendly, Getting Expected growth.",Employee engagement activities
Treat all are equal ,equality across levels
To treat all employees as one family,equality across levels
Need to implement same culture for Off roll & On rolls staff..,equality across levels
"All people should be treated equally, right to speak, occasionally organization of games, celebrations at festivals",equality across levels
Equality and Developing people keeping future in mind.    ,equality across levels
I thought that there should be no gap in the senior and the junior one so that we can learn things easily ,equality across levels
Need to manage same culture for both employee On rolls people & Off rolls people .    ,equality across levels
Togetherness among all and respect ,equality across levels
equality,equality across levels
Bridge the gap between people in NHQ and those on field. Their work environments and backgrounds are different. Kindly make the respective teams go out on field with their colleagues on field in order to understand them and their working style better; also the problems that they face. Like Sales,equality across levels
By respecting each one of the people in organization.and if the seniors don't put they are EGO with there juniors,equality across levels
"Facilities should be same in all premises (like NHQ, Plant-1, Plant-2)",Facilities same across locations
familiar behaviour,NA
encourage to spent time with family.,family day
Family get together.,family day
Family party.,family day
yearly once do family day function ,family day
Some family get together.,family day
In our india many places so I think company provide something with family to enjoy,family day
Dear Team   As of now the organization is doing its best to keep us happy even after it is facing lots of trouble in business due to major economic reforms imposed by govts.    if possible they can do these things :-  1. organize family Day Programs  2. Outdoor Picnic for Employees at different hubs  3. HR should interact with sales team to get their feedback from actual work environment.   4. preference for home location to middle management employee too. ,"Family day, picnic, HR Connect for sales"
We need to build up a family like culture.And help each others.,Family like culture
Keep doing the way we do and keep improving it on feedbacks as always,Feedback culture
360 degree approach should be implemented and feedback should be taken from the people who are working in the field and having more expose to market and their dynamics. ,Feedback culture
"There must have some team meeting, skip level meetings & HR sessions to interact with every individual employee towards there feedbacks against the work of organization during the specific time.  So employee can directly come up with there suggestion & there faith in organization.",Improved Feedback Mechanism
Motivation training and 1*1 feedback sessions ,Improved Feedback Mechanism
taking feedback from ground level executives and every individuals and trusting their words.,Improved Feedback Mechanism
Start employee feedback system  Welcome suggestions from employees,Improved Feedback Mechanism
any new creative live in operation directly live need to take feedback individually before of live ,Improved Feedback Mechanism
"I want a session where one can give the feedback to the other , anonymously.",Improved Feedback Mechanism
There should be system to take feedback from employees for the betterment of organization.,Improved Feedback Mechanism
360 degree feedback  More power to DM as compared to Partners  Work life balance  Trainings for Field Staffs  ,Improved Feedback Mechanism
Flexible working hours should be there.,flexible working hours
1. Focus on well-being of employees  2. Flexibility in working hours. More benefits to promote work-life balance,flexible working hours
"There are a lots of restrictions. There should be no time restriction, if work is complete, employee can go home. This is what is best practice in the best companies. Company should trust its employees ",flexible working hours
"Flexi timing, Company cab to come office, activation of office communicator, arranging health check ups, timely appreciation of good job done, office party time to time, ",flexible working hours
free fow of communication,free fow of communication
it is possible if we consider aspects of employes,free fow of communication
Shared visions between functions,free fow of communication
Interaction with inter vertical/department of company & conclave with employees give more happiness as well as transparency with each department.,free fow of communication
1.Frequent communication at every level.                2.Unnecessary meeting with Top management must be reduced.,free fow of communication
Clear Communication  Humble tackling of employees  Less verbal threats to employees of their employment on minor target gaps  Removal of bureaucracy and more open behavior  The seniors should be open enough to acknowledge true feedback and not take things personally  More professionalism,free fow of communication
We should create a system in which every employee of Org X gets that much of liberty to speak up whether it is related to their work environment or team environment. so no senior can push any of their junior. ,free fow of communication
Participation of all employees rather than autocratic approach,free fow of communication
"Reduction in organisational politics and an atmosphere of trust. Communication should be on a single line across hierarchies. Make policies which does not end with ""Termination of the employee"" Termination is accepted in integrity issues, but policies stating, if a certain job is not done properly, termination would be issued is ridiculous. ",free fow of communication
Freedom to express their respective plans ,free fow of communication
"More autonomy in decisions, alignment of everyone towards one goal, being vision driven rather than KPI driven",freedom at work
Reduce the usage of words of termination.   Holidays on at least Two saturdays in a month.    ,Holidays on saturdays
Improve Product Quality,improvement in their products
Task should be more specific individually and accountable to avoid multi channel communications.,increased accountability
Advertisement,Increased Advertising Effort
product & marketing,Increased Marketing Effort
following their protocal clean and clear.  Being tough compentative comparing other brands with higher quality and priceing to the consumers.,Increased Marketing Effort
All r both team in wrk relationship ,Increased Teamwork
As per my idea if company launch good and quality phones in a reasonable cost with a different types of advertisement all over the country which will make  Org X a truly premium brand.     That day every every employee will be more happy in all aspect.    So mainly Quality Phone in Reasonable Price with highest marcom activity needed.    Last but not the least MyOrg X contribution to the employees should be given in a particular month of the every year.    Thanks.,innovate more
"Org X is a very transparent and employee concentric company. It works 24*7 for benefiting its all stake holders everytime. It always tries to match with the peoples need and industry standard in all its segments.  I feel Org X should be visibly more stronger than the competitors,Today if I compare Org X with other brands we are unable to reach to a desired position. This is because we are not upgrading our portfolio and also we are not visible to the customer. If we do some serious marketing strategy than our brand will be able place in the desired position in industry.     ",innovate more
Please Product value same to compare brand,innovate more
New innovations ,innovate more
intergrity continusly,integrity
1. Boss and subordinate relation should be of Leader and followers.  2. Off roll and On Roll employee should be kept on same platform.,Leader follower culture must be adopted
"1) There shouldn't be an environment wherein Boss & Subordinate relationship is maintained, instead of the same environment should be created like there should be a leader and Flowerer relationship  2) There shouldn't be any difference between Off Roll & On roll employees in terms of employee management  3) Appraisal cycle of Off Roll employees must be similar as appraisal cycle of On Roll employees  4) Gym to be opened at every Head Office which will help employee to be healthy  5) Office environment should be fear less means an executive should have empowerment to discuss his problems with his Manager and can share his suggestions for betterment with his Manager",Leader follower culture must be adopted
By maintaining good relationships wih people,Maintaining good relationships 
"You know those little things that make your day shine and are not really connected to you in any way? Either your colleague’s attitude, the way your work space is organised or random surprises that your colleagues treat you with can make every day at work more and more enjoyable.    Little things that make people feel happy at work       1.Sociable colleagues  Isn’t everything better when you have nice sociable colleagues to work with?    2. Doing tasks that have meaning for me  Let’s say you ch1oose a job just for paying your rent and you’re waiting for a dream job opportunity. But, whatever you’re doing you want to be appreciated for your work. And how can we judge a fish by its climbing skills? We can’t.    3. Constructive feedback  The most important part of your work is feedback. No matter if it’s positive or negative (and then you will know what you have to change) feedback represents a very important instrument for measuring the quality of your work. And a complete feedback that has only the best intentions can transform your day in a very productive and cheerful one.    4. Smiling co-workers  A smile never cost anybody anything and a day seems to go better when you are surrounded by colleagues that smile and are willingly to help you anytime or just to hug you when you are not feeling ok.1    5. Having a mentor  Not anybody can brag about having a mentor at their job. A mentor is not only a teacher, it is the person that inspires you, the person from whom you want “steal” the knowledge’s of the job or you want to enjoy his “success secrets”.    6. A good training program  We all feel very motivated do our job the best way we can when we have a very good training program. Thereby you can receive better feedback  you can work more focused and you can improve your skills when you know you’ll be rewarded.    7. Brainstorming sessions  The sessions where we put our brains to work to come up with a mountain of ideas in which there is hidden, like a treasure, a brilliant idea for a project are relaxing and exhausting. Even though it seems a paradox a brainstorming session can bring up to the surface all the creativity that we are capable.","Mentor Program, More constructive Feedback, Brainstorming Sessions"
"Happy people make happy organisations. A friendly and trustworthy environment where each individual cares, helps, Guide , Motivate, mentor the every other person he Intermingles with. All managers must own the responsibility of nurturing a happy environment within the organization.","Mentor Program, Motivation"
more extra curricular activities should be implemented,Employee engagement activities
some more sports activity's are required,sports
Yoga sessions to be restarted,yoga
Get together meeting.  Which was recently organized in udaipur like sankalp,get togethers
get together party and office out side tour with team,Outings
More of activities to ensure well-being of colleagues,Employee engagement activities
There should be a big recreational area.,recreation area
"Placing indoor games, ",indoor games
Exercise arrangement & Fun ,gym
More means for physical fitness. Example Gym,gym
we need to assemble in one platform & share our view . so that all the person  issue can be resolved.  ,townhalls
there should be a meeting among the team on weekly basis and discuss if there are any issue among the team so that it can be resolved on timely basis and work in the benefit of organisation.,townhalls
Town Hall regularly for company planning  and improve the process ,townhalls
There should be a trustworthy & open working environment for employees. There should be common platform to share views/ideas/plan to others & implement them which leads to growth of organisation.,townhalls
Regular Communication To Make Engagement with Juniors.,free fow of communication
We must adapt a listening kind of culture where people can contribute with their respective experience,free fow of communication
Our organization should do some training and events so that the promotion of the Employee can,More Trainings
Our organization should do some training and events so that the promotion of the Employee can,More Trainings
"Learning and development, common forum to express work related issues, team parties and outings with cross function teams.",More Trainings
Make the office comfortable  A good training program,More Trainings
To pramote front line employees into new rolls for better results and make company strong.,More Trainings
"A total shift of employee engagement program. Our team has not been taken for an outstation trip since more than 1 year. There are contests, etc., only once in 5-6 months. ",more trips
Always giving motivation & support to their employees ,Motivation 
Respect our seniors and encourage our colleagues. ,Mutual Respecr & Appreciation
"Know your employees and coworkers by name.  Show employees you care by paying attention to their daily work and achievements.  Socialization is a key factor for happiness. The more fun and social your workplace is, the happier your employees will be.",Mutual Respect
The higher management in the organization should try to understand the meaning of compassion and set the work priorities in a defined timeline.  ,Mutual Respect
"Well behave with each other,respect junior and senior employee.suggest where they need guidence .",Mutual Respect
Respect our senior and encourage our collceague ,Mutual Respect
Helping nature is created happiness ,Mutual Respect & Care
Building relationship and trust.,Mutual Respect & Trust
Assemble in on place ,NA
"Company look at all side like employee, employer, product and etc...",NA
Think that organization is already doing many things. ,NA
"Just for my thinking ,    Every employee have some free dome",NA
i am very gud feel work in Org X company and i am very dedicated ,NA
already the organization is a happy place.  no more suggestions. ,NA
"Hard work and Smart work, perfect commintement",NA
Improve my work,NA
to be empathetic and plz look at experience too ,NA
Organization stability with employee with employee,NA
Then come.to Org X because the enviorment all awesom,NA
its already happy place in all aspects,NA
Every thing is good plz don't change anything as per my request,NA
stay on the quality procedure .,Quality
Provide a positive working environment.Reward and recognition.Involve and increase employee engagement.Develop the skills and potential of your workforce.Evaluate and measure job satisfaction.    Five Steps to Improve Job Satisfaction,R&R
"Facility/Reward/welfare to be given to all department without any difference such as employee get together, Saturday off, pizza meeting etc.  Company provide Facility/Reward/welfare to only NHQ, Sales, R&D team and same facility not given to manufacturing team",R&R
Team building party frequency need to increase.,team building exercise should be conducted
More interaction between large teams,team building exercise should be conducted
like team lunch and awards and face to face interaction ould be done to make the entire organization a happy place in all aspects,team building exercise should be conducted
"There is no team building activities ,which need to start immed basis.  Employee engagement activities need to focus and improve  Employee attrition is very high,some retention policy need to enforced to retain good human resource  Some informal communication need to start to give employee personal touch which can be done thru forming some club(is there but Missing now days ) and these club need to operate some activities on monthly basis to engage employee.",team building exercise should be conducted
communicate with each other and have transparency. ,Tranparency
More transparency in decision making.,Tranparency
Make more transparent about business and growth rate of organization,Tranparency
proper forecasting about organization  and transparency at each level ,Tranparency
Transparent  Stop politics  Support team  Give employees first preference to grow,Tranparency
by friendly nature and transparency in organisation,Tranparency
"in manufacturing org must use the six sigma formula to create quality full  product it can happy all for customer, employee and stakeholder ",Use Quality tools like six sigma
live up to the real values of Org X,values of organization should be followed
Be more open minded and teach only that which you yourself can follow,values of organization should be followed
Maintain their core values in future also,values of organization should be followed
1. Leadership positions should live the values and lead by example and not just reiterate the values for the sack of saying it.  2. Compassion and Empathy need to be practiced.  3. Mentoring and coaching are required and not training of skilled by some xyz institution and expecting it to work.  4. Team building activity if done should give the connect and feel to the employees that it is for the real improvements not an eye wash.,values of organization should be followed
"1. Every one including the top management and various teams across all functions should live the core values in sync with each other.  2. Before taking important decisions regarding important aspects related to business and internal operations, it is always better to take opinions collectively. This may fetch some better options and also instills a feeling of being important in the people.  3. People should be made to feel important for the organization irrespective of their level and function in the company.  4. Before rolling out any important business or internal policy, the idea behind it and the impact of it should be clearly made transparent with people to gain confidence.",values of organization should be followed
all pending work done after go to the home for daily basis.,work achievement
Work load sharing for lower level counterparts.,Work load sharing
"Team work.    For better understanding we have to organize activity like cricket, trainging sessoin.",Working as a Team
 Better team work.  Happy people fix problems instead of complaining about them.  Happy people have more energy.,Working as a Team
firstly organization requires good management so that one can learn and empowers the environment. it should be more of employee centric so that employee can feel safe and deliver their productivity to the fullest.  fear leads to grief which results in the negative outcome of business..  these are the key factors an organization should have to grow.,Working without fear
The enablers that create an environment of happiness in the organisation are supportive and friendly collegues and good work culture,Positive organisational culture
Kind nature of organization,Positive organisational culture
"The appreciation we receive for small achievements in our work serves as great enablers that create an environment of happiness.
",Rewards & Recognition
do best for you and organization ,Team bonding
Colleagues (only few),Team bonding
team work,Team work
work culture,work environment
Made Good Garden and every place is  neat and clean,work environment
"Friend, Good managers/Supervisors, Good communications",Communication
"open communication, mutual support",Communication
"Clean work environment, Support from the superiors, Good HR policies and practices",HR policies
"HR policies and Support, Good communication with supervisors and colleges, Good working environment ",HR policies
,N.A.
"Appreciate your employees, Incentives, appropriate resources, safety,   ",Rewards & Recognition
Relation ship with superiors and colleges,Team bonding
Team work  that creates Happiness environment,Team energy
"Happy atmosphere. 
Dedicated and hard-working team. 
R&D-Production-Sales interaction",Team work
